,review,rating
126,Kualitas produk bagus. Modelnya keren 😎. Jahitannya rapi. Warnanya mantap. Ukuran sesuai. Bahan menyerap keringat. Nyaman dipakai. Bahannya lembut. Bahannya adem. Tidak menerawang.,5
127,Perfect,5
128,size M nya gede buanget . oversize nya beneran gueedeee banget,5
129,"Bahan nya bagus, tapi dapet nya barang cacat",3
130,"barang berkualitas tinggi, top banget",5
131,"udah sampe gan thanks yah, walopun dari kurir sempet Salah kirim alamat.",5
132,"Good. Puas dgn bahan nya, hanya saja L size kurang panjang sedikit di lengan",5
133,Kualitas produk bagus.,5
134,Jahitannya rapi.,5
135,Nice one,5
136,"kualitas baju bagus, tapi belum dicoba sampe satu minggu 👍 kendala hanya kurir anteraja yang ngadet banget lama nyampe",5
137,,5
138,"Bagian leher kurang besar, jadi kurang sama dengan uniqlo atau zara design.

Seller mantap poll! Rekomended ke tokonya",4
139,Kualitas produk bagus. Modelnya keren 😎. Warnanya mantap. Bahannya adem. Tidak menerawang. Nyaman dipakai. Jahitannya rapi. Ukuran sesuai. Bahannya lembut. Bahan menyerap keringat.,5
140,"Model &amp; bahannya sesuai ekspektasi, apalagi warnanya, memang sengaja cari yang hijo belel gitu sih",5
141,"bahan adem, ukuran pas..mantaap",5
142,"suka ,bahan tebal tp ga panas ,pengiriman cpt,hatur nuhun",5
143,kamu memang joss!,5
144,bahan dan ukuran sesuai ekspetasi,5
145,Lumayan,5
146,"bahan adem, jaritan rapi, mantap min",5
147,"produk bagus, bahan nyaman
but pengiriman lama, chat respon lama",4
148,bagus udah beli 2x bahannya adem kainnya gak bikin bau kalo keringetan,5
149,Pembelian ke sekian kali. Sebulan beli 5 pieces. Karena ternyata bagus dan enak. Cuma memang bahannya agak panas karena tebal. Semoga produk selanjutnya bisa bikin dengan bahan yg agak adem,5
150,Good prodak,5
151,mantappppp,5
152,,1
153,Mantap,5
154,"kaosnya nyaman dipake, bahannya tebel tapi tidak panas. ukurannya jg pas.",5
155,"BAGUS TERNYATA, BAHANNYA NYAMAN DAN LEMBUT. MANTAPP",5
156,"pengiriman cepat sekali,pokok nya da best 👍👍",5
157,bagus 👍,5
158,Mayan lah,5
159,bagus,5
160,Bajunya bagus bgt dong jahitanhya juga rapi,5
161,"kualitas ok banget kalo di jakarta mah di atas 100 rebu kualitas begini, hanupis",5
162,"bahan adem, kiriman cepat packing rapi barangnya berkualitas recommended seller",5
163,Untuk tinggi 172 cm dan berat 75 sepertinya cocok ukuran L. Karena saya pake XL kebawahnya sangat besar. Tapi untuk bahan saya suka. Next klo saya pesan ukurannya L saja,5
164,bahan bagus sesuai 24s,5
165,Mantap bahannya enak 👍🏻,5
166,"Pengemasan okk, secara banu bahan ny enak tpi leher ny aja mayan kekcilan, apalgi ni ukuran xl, tpi pling di pake sering gedean",5
167,"pola oversized nya bagus, bahan halus dan adem tapi agak tipis. warna ijo melon nya agak buluk ada putih2nya.",4
168,asmr ges,5
169,Bahannya bagus👍🏼👍🏼👍🏼👍🏼,5
170,bagus kainnya,5
171,bahan nya bagus bgtt asli,5
172,nice.. thx seller..,5
173,Paket sdh diterima sesuai pesanan best seller mksh,5
174,bahan tebal good,4
175,,5
176,sekedar saran menurut saya utk ukuran kerah/lingkaran kerah ny d kecilin jgn terlalu lebar biar agak ngepres sma leher jdi gk terlalu kedodoran dan jga lebih keren sih menurut saya,5
177,Yang abu tua lengannya kepanjangan,4
178,Mantaaap. kaosnya adem,5
179,bahan bagus. ukuran sesuai deskripsi. recommended seller,5
180,ukuran ga sesuai brli size M jatuhnya reguler fit bukan oversize,1
181,"bagus, no complain, sedikit ada benang2 keluar, wajar dengan harga sgini. bahan juga 24s sesuai notes. tengkiu bakal repeat order lagi untuk warna laen.",5
182,sesuai sama pesanan,5
183,"sesuai pesanan, barang bagus , wallau pengiriman sempat terdelay 2 hr",5
184,kerennn,5
185,bagusss banget,5
186,Oke,4
187,Barangnya bagus,5
188,pas banget bahannya tebal.juga,5
189,puas bgt...,5
190,rekomend banget,5
191,"bahan baju nya bagus , ukuran sesuai sama yang dideskripsikan , harga terjangkau

pokoknya the best 👍",5
192,bagus bgtttt,5
193,"admin gercep pengiriman cepat, bahannya enak cuttingan nya bagus  👍🏻",5
194,"bahan bagus tidak panas, jahitan rapi &amp; warna sesuai dg gambar",5
195,"enak, pas, nyaman",5
196,"warna ijo melon sih oke ya sesuai ekspektasi, tapi yg warna peach kok modelnya beda ya? ada saku di dada trus bagian sampingnya jahitannya juga beda",4
197,kualitas oke lah tetapi ada deffect minor,4
198,"Yg biasa pakai baju L, untuk ukuran oversize better XL",5
199,"Kurs. Lengannya doang yg panjang, lebar kaosnya gak gombrong, jadi aneh. Coba tiru cuttingan uniqlo yg tipe oversized, itu baru oversized t-shirt beneran.",3
200,"Pas, pengiriman cepet",5
201,Bagus,5
202,ok,4
203,Belinya hitam kenapa datangnya yang warna merah ?,3
204,"Barang cepat sampai, bahan kaos &#39;dingin&#39;. Kualitas oke",5
205,"barang bagus, barang original, barang sesuai gambar, recommended",5
206,sangat puas sekali,5
207,keren banget,5
208,wow,5
209,Produk sesuai deskripsi,5
210,nice,5
211,Bagus,5
212,barang sesuai pesanan,5
213,keren 👌🏼👌🏼👌🏼,5
214,Paket aman smp tujuan mantap 👍👍👍,5
215,mantapni baju!!,5
216,"bagus bgt, bahannya ga panas, warnanya juga bagus sesuai gambar",5
217,"Keren anying! Piuas beud
Bb80 tb 170",5
218,"Mantap, pesanan sampai nya kilat",5
219,"bahan halus, adem, packing rapi, pengiriman agak lama",5
220,kainnya bagus,5
221,Keren,5
222,"Puas banget, barang ada kurang buyyernya tanggung jawab dikirim yang kurangnya, dan bahannya bagus banget recommended",5
223,"Bagus Kaosnya,  nyaman saya suka",5
224,seller responnya lambat,3
225,"cepat, kemasan bagus sekali, kualitas barang bagus, pengiriman cepat....jos markojosss",5
226,mantaaaap,5
227,Mantap bangettt,5
228,seller cepet bangett sihh qualitas juga okee mantap pokok nya ni 🔥🔥,5
229,Mantabbbs,5
230,kualitas nya bagus... sama seperti merek UNi*lo,5
231,bahan bagus. enak dipakai. tb 175 bb 82 cocok pake xl,5
232,"bahan nya gak tipis gak tebal. saya TB 178 dan BB 80 pake XL gak terlalu nampak Oversize nya di bdn tp klo dari bahu kelihatan kalo type
 baju oversize. harus diet biar klihatan oversize.",5
233,good quality,5
234,Terima kasih,5
235,Mantap jos,5
236,sesuai dengan pesanan kaosnya bagus,5
237,"produk sesuai pesanan, dan packaging rapih",5
238,"mantap, sesuai ekspektasi",5
239,Puasssss.. (btw yg hitam warna aslinya lebih hitam),5
240,bagus enak dipakai,5
241,diluar expetasi 👍👍👍,5
242,"kualitas barangnya oke cepet sampe lagi, wis pokoke tidak nyesel",5
243,kren,5
244,Bagus bahannya. Bakal repeat order sih.,5
245,"tadinya mau beli beberapa cuma pgan coba beli satu dulu..dan ternyata bahan tebel jg pas banget..keren abizzz
pengiriman cepat banget
nanti belanja disini lagi 
thanks you",5
246,mantappp sekali,5
247,Produk sesuai dengan deskripsi produk nya,5
248,"Repeat order. Kemarin beli warna hitam. Sekarang beli warna lain.
Kualitas barang masih sesuai ekspektasi. Nggak kalah sama un1ql0!

Herannya ukuran untuk warna hitam dan putih sedikit berbeda dengan warna lainnya kalau digunakan di badan.

Sukses terus seller!",5
249,"Barang keren, kelass",5
250,"yg 2 dapet oversize, yg satu xl biasa.
yg oversize bajunya lumayan tebel, yg xl biasa aja.
terima kasih 🙏",5
251,,5
252,bagus bgt,5
253,cuttingannya kurang nampak oversize,4
254,bahan kaos tebal namun tidak panas,5
255,"Kualitas sangat baik untuk di kalangan harga segini ya. Daripada beli di mall macam Uni*lo, mending beli di sini. Bagus kok, fit di badan

Tinggi 185 dan berat 75 cocok pake L. Tinggi di atas segitu mending XL",5
256,Modelnya keren 😎.,5
257,"Kualitas biasa saja, untuk feel ya selayaknya C24s, gw tinggi 173 berat 95kg pesen yg ukuran XL tapi ukurannya sama kaya baju XL gw biasa pakai dirumah, cuma bedanya yg ini lengannya lebih panjang, ekspetasi gw XL itu kaya anak yg baru masuk SD, ternyata sama saja kaya baju XL yg sering gw pake dirumah",4
258,"Warna ga sesuai dengan di Poto, kecewa deh 😢",1
259,Kualitas produk bagus. Jahitannya rapi. Modelnya keren 😎. Ukuran sesuai. Nyaman dipakai. Bahannya adem. Warnanya mantap. Tidak menerawang. Bahannya lembut. Bahan menyerap keringat.,5
260,"Kualitas produk bagus. Modelnya keren 😎. Ukuran sesuai.  Warnanya mantap. Nyaman dipakai. Bahannya lembut &amp; lumayan tebal. saran sy untuk tb. 175 bb 74, klo pingin keliatan oversizenya, pilih XL. sebetulnya sy pilih yg polos, cm yg dikirim yg saku.. gk masalah sih, ttp keren, yg penting hitam.. next bakal repeat order lg.. tq",5
261,"Kualitas, packaging, kecepatan pengiriman mamamia cepatos!",5
262,Ukuran sesuai.,5
263,Kualitas produk bagus. Modelnya keren 😎. Jahitannya rapi. Nyaman dipakai. Bahannya lembut. Tidak menerawang. Bahan menyerap keringat. Bahannya adem. Warnanya mantap.,5
264,Kualitas produk bagus. Nyaman dipakai. Ukuran sesuai. Tidak menerawang. Warnanya mantap.,5
265,Kualitas produk bagus Ukuran sesuai Nyaman dipakai Warnanya mantap Modelnya keren 😎,5
266,Kualitas produk bagus.,5
267,"barang bagus n proses cepat, mantabbbbKualitas produk bagus. Jahitannya rapi. Nyaman dipakai. Bahannya adem.",5
268,"Kualitas produk bagus, Jahitannya rapi, Ukuran sesuai,Nyaman dipakai, pekingan rapi",5
269,Kualitas produk bagus,5
270,Bahannya adem Nyaman dipakai,5
271,Kualitas produk bagus. Nyaman dipakai. Ukuran sesuai.,5
272,"barang oke, pengiriman oke!! worth it banget",5
273,Sedikit overpriced untuk kualitas kaosnya,3
274,Kualitas produk bagus. Ukuran sesuai. mantap,5
275,"Baju nya bagus, kualitas oke, pelayanan nya mantep bgt",5
276,Kualitas produk bagus. Jahitannya rapi. Ukuran sesuai. Nyaman dipakai.,5
277,"Kualitas produk bagus Jahitannya rapi Bahannya adem Ukuran sesuai Modelnya keren 😎

Pembelian ke 2 mantep deh bintang 5 ⭐️⭐️⭐️⭐️⭐️",5
278,Jahitannya rapi. Nyaman dipakai. Kualitas produk bagus. Warnanya mantap. Bahannya adem. Tidak menerawang. Bahannya lembut.,5
279,"Kualitas produk bagus
 Nyaman dipakai
 Modelnya keren 😎
 Bahannya adem",5
280,Nyaman dipakai.,5
281,Kualitas produk bagus. Modelnya keren 😎. Nyaman dipakai.,5
282,👍,5
283,"udah tau minta cancel, trus mana barang yg dateng barang reject. diminta pengembalian dana malah diajuin tukar barang. ni seller maksa bet pen dapet duit gocap doang",1
284,Terbaik. Next time saya akan pesan di sini keren. Bajunya. Cuman saya bru tau saya ukuran nya L ternyata 😅 tpi aman lah,5
285,Kualitas produk bagus.,4
286,"bahan nya adem, enak dipakai",5
287,"terima kasih barangnya sudah sampai dan saya coba sangat nyaman dan tebal ukurannya juga pas
mantap deh pokoknya",5
288,Kualitas produk bagus Jahitannya rapi Modelnya keren 😎 Warnanya mantap Bahannya adem Tidak menerawang Bahan menyerap keringat Ukuran sesuai Nyaman dipakai Bahannya lembut,5
289,Modelnya keren 😎 Nyaman dipakai Kualitas produk bagus kerennn pokoknya dahh,5
290,"Kaosnya bagus. Bahannya lembut, ukurannya pas dan nyaman. Recommended. (cuman pengirimannya lama lewat waktu yg ditentukan tokped).",5
291,Sizenya beneran Extra large 🤣Nyaman dipakai.,5
292,Bahan sesuai harga nya lah,4
293,Bajunya ok banget. Bahannya enak dan harganya jauh lebih bersahabat daripada beli di mall.,5
294,"beli lagi beli lagi, bahannya enak dipake. mksh yaa",5
295,"bajunya pendek, jangan beli yang hitam kawan kawan",1
296,Ukuran sesuai. Modelnya keren 😎. Kualitas produk bagus. Warnanya mantap.,5
297,"baguus
bahannya enak juga",5
298,Nyaman dipakai. Modelnya keren 😎. Ukuran sesuai. Kualitas produk bagus. Tidak menerawang. Ukuran sesuai.,5
299,"Kualitas produk bagus Jahitannya rapi Nyaman dipakai Bahannya adem Bahannya lembut Bahan menyerap keringat Tidak menerawang

Keren pokoknya, cuma lehernya sedikit kelebaran atau saya yang pesennya kebesaran???

BB 82, TB 175, black XL",5
300,Kualitas produk bagus. Jahitannya rapi. Ukuran sesuai.,5
301,mantab,5
